zip.code,city,county,store.number,store.name,address,store.latitude,store.longitude
50054,Colfax,Jasper,3041,Shugar's Super Valu,28 E Howard,41.6779056666667,-93.2445631666667
50054,Colfax,Jasper,4429,Kum & Go,1200 N Walnut St,41.6869034,-93.2472166
50054,Colfax,Jasper,5398,Casey's General Store,1203 N Walnut,41.686707,-93.247274
50056,Colo,Story,4549,Casey's General Store,702 Us Hwy 65,42.014866,-93.309393
50058,Coon Rapids,Carroll,4881,Sperry One Stop Shop LLC,516 Hwy 141,,
50058,Coon Rapids,Carroll,4469,Sperry One Stop Shop LLC,516 Hwy 141,,
50058,Coon Rapids,Carroll,5203,Kimmes Coon Rapids Country Store,516 Hwy 141,,
50058,Coon Rapids,Carroll,5343,Frohlich's Super Valu,403 Main St,41.8708615,-94.6760355
50060,Corydon,Wayne,3583,Mac's Liquor And Videos,220 E Jefferson,40.75718,-93.317443
50060,Corydon,Wayne,2659,Hy-Vee Food Store,303 E Jefferson St,,
50060,Corydon,Wayne,2669,Hy-Vee,103 E Jackson St,40.75842,-93.318046
50060,Corydon,Wayne,5221,Gasland Express,214 W Jefferson St,40.757173,-93.320052
50069,De Soto,Dallas,4411,KUM & GO,1203 Guthrie St,41.538177,-94.012641
50069,De Soto,Dallas,4792,Casey's General Store,1100 Greene St,42.066915,-93.8834
50070,Dexter,Dallas,5467,Casey's General Store,803 State St,41.518101,-94.22772
50071,Dows,Wright,4515,Casey's General Store,2721 Dows Williams Rd,42.655628,-93.508976
50072,Earlham,Madison,4872,Casey's General Store,975 N Chestnut Ave,41.4999415,-94.1231246666667
50075,Ellsworth,Hamilton,4395,KUM & GO,1111 Ia Hwy 175,42.3104426,-93.57393
50076,Exira,Audubon,4523,Casey's General Store,312 W Washington St,41.591142,-94.879847
50107,Grand Junction,Greene,4521,Casey's General Store,504 16th St N,,
50109,Granger,Dallas,4873,Casey's General Store,1802 Sycamore St,41.758781,-93.824366
50111,Grimes,Polk,4344,Spirits,109 E 1st St Ste B,41.6884,-93.79381575
50111,Grimes,Polk,4209,Wal-Mart 5748,2150 E 1st St,41.6883291666667,-93.771617
